,id,link,coordinates,address,stars
95,57419965312,https://yandex.ru/maps/org/ozon/57419965312/,"30.388009,59.944518","Тульская ул., 2",4.0
96,57957804548,https://yandex.ru/maps/org/ozon/57957804548/,"30.272565,59.942092","11-я линия Васильевского острова, 36",3.8
97,58010690923,https://yandex.ru/maps/org/ozon/58010690923/,"30.220076,60.023855","Планерная ул., 63, корп. 1",4.9
98,58299692462,https://yandex.ru/maps/org/ozon/58299692462/,"30.484715,59.953609","просп. Наставников, 43, корп. 1",4.5
99,58361518261,https://yandex.ru/maps/org/ozon/58361518261/,"30.481156,59.954010","просп. Ударников, 42",4.3
100,58790517394,https://yandex.ru/maps/org/ozon/58790517394/,"30.322965,60.013479","просп. Энгельса, 52",4.3
101,58932820598,https://yandex.ru/maps/org/ozon/58932820598/,"30.270993,59.972709","Константиновский просп., 11, этаж 1",4.4
102,59504647084,https://yandex.ru/maps/org/ozon/59504647084/,"30.266736,59.949050","Уральская ул., 2",4.5
103,60800376071,https://yandex.ru/maps/org/ozon/60800376071/,"30.348037,59.999228","Институтский просп., 11",4.9
104,62179783614,https://yandex.ru/maps/org/ozon/62179783614/,"30.265325,59.940214","16-я линия Васильевского острова, 45",4.1
105,63480868416,https://yandex.ru/maps/org/ozon/63480868416/,"30.255885,60.037855","ул. Лидии Зверевой, 9, корп. 2",4.9
106,63659431304,https://yandex.ru/maps/org/ozon/63659431304/,"30.213261,60.002801","Туристская ул., 23, корп. 1",4.3
107,64189567898,https://yandex.ru/maps/org/ozon/64189567898/,"30.352061,59.942460","ул. Рылеева, 3, этаж 1",4.4
108,64280431989,https://yandex.ru/maps/org/ozon/64280431989/,"30.300012,59.914499","8-я Красноармейская ул., 21, этаж 1",4.1
109,64367746038,https://yandex.ru/maps/org/ozon/64367746038/,"30.240657,59.945584","ул. Беринга, 23, корп. 2",4.8
110,65225498969,https://yandex.ru/maps/org/ozon/65225498969/,"30.435658,59.970182","просп. Энергетиков, 64, этаж 2",4.3
111,65292500708,https://yandex.ru/maps/org/ozon/65292500708/,"30.269053,60.012512","просп. Королёва, 26А",4.7
112,66291888513,https://yandex.ru/maps/org/ozon/66291888513/,"30.400740,60.011166","просп. Науки, 21, корп. 1, этаж 1",4.0
113,68110719858,https://yandex.ru/maps/org/ozon/68110719858/,"30.399739,60.042116","Светлановский просп., 70, корп. 1",4.4
114,68191610146,https://yandex.ru/maps/org/ozon/68191610146/,"30.335966,59.985449","Большой Сампсониевский просп., 75, этаж 1",4.7
115,68721290739,https://yandex.ru/maps/org/ozon/68721290739/,"30.425187,59.984987","Пискарёвский просп., 40, этаж 1",4.7
116,68847417625,https://yandex.ru/maps/org/ozon/68847417625/,"30.367128,60.016615","Тихорецкий просп., 20, корп. 1",4.2
117,69092933700,https://yandex.ru/maps/org/ozon/69092933700/,"30.287749,60.000280","Богатырский просп., 7, корп. 2",4.3
118,69252803054,https://yandex.ru/maps/org/ozon/69252803054/,"30.246663,60.010962","просп. Авиаконструкторов, 5, корп. 2, ТЦ Космос",4.1
119,69451041174,https://yandex.ru/maps/org/ozon/69451041174/,"30.414998,59.955264","Среднеохтинский просп., 40",4.4
120,69644085892,https://yandex.ru/maps/org/ozon/69644085892/,"30.264690,59.940765","16-я линия Васильевского острова, 49",4.1
121,70011132415,https://yandex.ru/maps/org/ozon/70011132415/,"30.380457,59.984435","Богословская ул., 4, корп. 1",4.4
122,70093292864,https://yandex.ru/maps/org/ozon/70093292864/,"30.319713,60.018112","Скобелевский просп., 4В, этаж 1",3.9
123,70925026772,https://yandex.ru/maps/org/ozon/70925026772/,"30.426881,59.903063","Общественный пер., 5",4.4
124,71102656363,https://yandex.ru/maps/org/ozon/71102656363/,"30.217070,59.945256","ул. Кораблестроителей, 21, корп. 1Д",4.8
125,71531206056,https://yandex.ru/maps/org/ozon/71531206056/,"30.497818,59.934719","Хасанская ул., 17, корп. 1",4.3
126,71772226634,https://yandex.ru/maps/org/ozon/71772226634/,"30.394540,59.987739","Бестужевская ул., 10, этаж 1",4.4
127,71811166353,https://yandex.ru/maps/org/ozon/71811166353/,"30.497671,59.951258","ул. Коммуны, 32, корп. 2",4.6
128,72154434946,https://yandex.ru/maps/org/ozon/72154434946/,"30.271750,60.007207","просп. Испытателей, 29, корп. 1",4.6
129,72328835046,https://yandex.ru/maps/org/ozon/72328835046/,"30.267101,59.935841","18-я линия Васильевского острова, 21",4.3
130,72816919273,https://yandex.ru/maps/org/remont_telefonov/72816919273/,"30.344876,59.979620","Лесной просп., 37, корп. 1Б, этаж 1",4.3
131,73007153301,https://yandex.ru/maps/org/ozon/73007153301/,"30.240595,60.022588","Комендантский просп., 34, корп. 1В",4.5
132,73701971985,https://yandex.ru/maps/org/ozon/73701971985/,"30.401461,60.059706","ул. Шекспира, 3, посёлок Бугры",4.8
133,74013641534,https://yandex.ru/maps/org/ozon/74013641534/,"30.337794,59.924191","Загородный просп., 36",4.3
134,74626912791,https://yandex.ru/maps/org/ozon/74626912791/,"30.298909,60.033372","1-я Утиная ул., 28",4.7
135,74794040308,https://yandex.ru/maps/org/ozon/74794040308/,"30.253106,60.022754","просп. Королёва, 47, корп. 1",4.8
136,76182808187,https://yandex.ru/maps/org/ozon/76182808187/,"30.342105,59.920670","ул. Марата, 75",4.7
137,78071675661,https://yandex.ru/maps/org/ozon/78071675661/,"30.356236,60.053706","Сиреневый бул., 10",4.7
138,78537973613,https://yandex.ru/maps/org/ozon/78537973613/,"30.347034,60.008413","просп. Тореза, 44, корп. 2",4.5
139,78580824462,https://yandex.ru/maps/org/ozon/78580824462/,"30.353562,59.930185","ул. Марата, 5, этаж 2",4.2
140,79287562116,https://yandex.ru/maps/org/ozon/79287562116/,"30.407933,59.928433","Заневский просп., 8",3.9
141,79603207701,https://yandex.ru/maps/org/ozon/79603207701/,"30.330270,60.042877","просп. Луначарского, 11, корп. 1, этаж цокольный",3.6
142,81055842500,https://yandex.ru/maps/org/ozon/81055842500/,"30.279918,59.941560","7-я линия Васильевского острова, 40",4.2
143,81290961803,https://yandex.ru/maps/org/ozon/81290961803/,"30.359229,60.052766","просп. Художников, 43/14",4.9
144,81540936831,https://yandex.ru/maps/org/ozon/81540936831/,"30.233063,60.031962","Комендантский просп., 55, корп. 1",4.5
145,82009742912,https://yandex.ru/maps/org/ozon/82009742912/,"30.223505,60.004284","Яхтенная ул., 34",4.9
146,82087332078,https://yandex.ru/maps/org/ozon/82087332078/,"30.274368,60.058586","Суздальское ш., 22, корп. 2",4.6
147,82123084502,https://yandex.ru/maps/org/ozon/82123084502/,"30.380271,59.941510","Суворовский просп., 40",4.4
148,82142520164,https://yandex.ru/maps/org/ozon/82142520164/,"30.288469,59.986603","Сестрорецкая ул., 8, офис 12-Н",4.8
149,83250021068,https://yandex.ru/maps/org/ozon/83250021068/,"30.374564,60.035804","просп. Луначарского, 80, корп. 1Б, этаж 1",4.6
150,83383777376,https://yandex.ru/maps/org/ozon/83383777376/,"30.372893,59.937474","Суворовский просп., 26-28",4.0
151,83845014722,https://yandex.ru/maps/org/ozon/83845014722/,"30.417976,60.032121","Гражданский просп., 117, корп. 1, Ulmart",3.9
152,84822532558,https://yandex.ru/maps/org/ozon/84822532558/,"30.322981,60.039584","просп. Энгельса, 126, корп. 1, этаж 1",4.3
153,85619099284,https://yandex.ru/maps/org/ozon/85619099284/,"30.299335,60.046206","Большая Озёрная ул., 106",4.2
154,86007581606,https://yandex.ru/maps/org/ozon/86007581606/,"30.475311,59.916050","просп. Большевиков, 6",3.6
