id,link,coordinates,address,stars
88118294971,https://yandex.ru/maps/org/ozon/88118294971/,"30.425193,60.034852","просп. Просвещения, 104, Середина дома, вывеска OZON",4.3
143843516587,https://yandex.ru/maps/org/ozon/143843516587/,"30.235987,59.982282","Приморский просп., 52, корп. 3",4.8
68191610146,https://yandex.ru/maps/org/ozon/68191610146/,"30.335966,59.985449","Большой Сампсониевский просп., 75, этаж 1",4.7
152732371691,https://yandex.ru/maps/org/ozon/152732371691/,"30.347945,59.983674","ул. Александра Матросова, 20, корп. 2",4.8
144735465650,https://yandex.ru/maps/org/ozon/144735465650/,"30.342862,59.988352","Лесной просп., 73",4.4
171292217564,https://yandex.ru/maps/org/ozon/171292217564/,"30.306600,59.990571","Новосибирская ул., 10",4.8
39367645191,https://yandex.ru/maps/org/ozon/39367645191/,"30.278994,60.016515","просп. Сизова, 25",4.7
232850888753,https://yandex.ru/maps/org/ozon/232850888753/,"30.333066,60.003792","2-й Муринский просп., 8, корп. 1",4.4
15117231007,https://yandex.ru/maps/org/ozon/15117231007/,"30.301471,59.990120","наб. Чёрной речки, 57",4.4
216997468825,https://yandex.ru/maps/org/ozon/216997468825/,"30.390612,60.005118","Гражданский просп., 23, корп. 1, Магнит",4.7
94772539391,https://yandex.ru/maps/org/ozon/94772539391/,"30.259190,59.989270","Торфяная дорога, 7Б, этаж 1",4.0
158931222942,https://yandex.ru/maps/org/ozon/158931222942/,"30.388273,59.980773","Кондратьевский просп., 62, корп. 6, 1",4.6
241806189646,https://yandex.ru/maps/org/ozon/241806189646/,"30.375103,60.019330","ул. Веденеева, 12, корп. 1",4.9
187430779975,https://yandex.ru/maps/org/ozon/187430779975/,"30.295966,60.003817","просп. Испытателей, 9",4.0
57957804548,https://yandex.ru/maps/org/ozon/57957804548/,"30.272565,59.942092","11-я линия Васильевского острова, 36",3.8
35960134493,https://yandex.ru/maps/org/ozon/35960134493/,"30.237741,60.036064","просп. Королёва, 73",4.9
95606249212,https://yandex.ru/maps/org/ozon/95606249212/,"30.236966,59.998848","Планерная ул., 17, этаж 1",4.8
156695765259,https://yandex.ru/maps/org/ozon/156695765259/,"30.345349,59.928516","ул. Рубинштейна, 30Б, этаж 1",4.0
26155538403,https://yandex.ru/maps/org/ozon/26155538403/,"30.237559,60.017040","просп. Авиаконструкторов, 14Б",4.6
49646108525,https://yandex.ru/maps/org/ozon/49646108525/,"30.211860,59.940005","Морская наб., 15, этаж цокольный",4.7
200068542833,https://yandex.ru/maps/org/ozon/200068542833/,"30.355919,60.037237","ул. Сантьяго-де-Куба, 10, корп. 1",4.7
26840069430,https://yandex.ru/maps/org/ozon/26840069430/,"30.434634,59.937851","просп. Энергетиков, 8, корп. 1, этаж 1",4.1
129337962852,https://yandex.ru/maps/org/ozon/129337962852/,"30.380825,59.946346","Калужский пер., 7, этаж 2",4.7
11135826610,https://yandex.ru/maps/org/ozon/11135826610/,"30.246525,60.006926","Стародеревенская ул., 34, корп. 2, этаж 1",4.7
169132184331,https://yandex.ru/maps/org/ozon/169132184331/,"30.337419,60.029322","Лиственная ул., 20, корп. 2",4.6
234687291913,https://yandex.ru/maps/org/ozon/234687291913/,"30.400887,60.028700","ул. Ушинского, 2, корп. 1",4.7
26679243981,https://yandex.ru/maps/org/ozon/26679243981/,"30.244375,60.035050","Парашютная ул., 54",4.4
108777368634,https://yandex.ru/maps/org/ozon/108777368634/,"30.340691,59.945030","Гангутская ул., 12",4.2
84822532558,https://yandex.ru/maps/org/ozon/84822532558/,"30.322981,60.039584","просп. Энгельса, 126, корп. 1, этаж 1",4.3
129607274504,https://yandex.ru/maps/org/ozon/129607274504/,"30.311988,59.927947","Гражданская ул., 17/8",4.4
207911795530,https://yandex.ru/maps/org/ozon/207911795530/,"30.241816,59.953771","просп. КИМа, 28Б",4.4
